City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Georgetown,MY,89.01,few clouds,5.4112,100.3354,Cititel Penang
6,Atuona,PF,79.75,scattered clouds,-9.8,-139.0333,Villa Enata
7,Palu,ID,85.32,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
10,Bathsheba,BB,78.8,few clouds,13.2167,-59.5167,Atlantis Hotel
14,Carnarvon,AU,84.2,clear sky,-24.8667,113.6333,Hospitality Carnarvon
17,Faanui,PF,81.91,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
18,Vaini,TO,80.6,light rain,-21.2,-175.2,Keleti Beach Resort
20,Saint-Philippe,RE,84.2,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
21,Avarua,CK,78.8,light rain,-21.2078,-159.775,Paradise Inn
24,Kawalu,ID,84.85,light rain,-7.3817,108.2082,KOSAN UNGU UNSIK
27,Hobart,AU,75.0,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
29,Soure,BR,77.11,overcast clouds,-0.7167,-48.5233,Casarão
32,Meulaboh,ID,86.32,scattered clouds,4.1363,96.1285,Kost Pria
33,Olinda,BR,78.8,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
34,Butaritari,KI,80.98,few clouds,3.0707,172.7902,Isles Sunset Lodge
35,Tura,IN,85.78,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
37,Palasa,IN,89.01,clear sky,18.7667,84.4167,Balaji tifen & meals veg & non veg hotel
42,Hithadhoo,MV,83.46,clear sky,-0.6,73.0833,Scoop Guest House
48,Hobyo,SO,80.71,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
50,Buala,SB,83.5,light rain,-8.145,159.5921,Maringe Lagoon Lodge
52,Lamu,KE,78.62,scattered clouds,-2.2717,40.902,Lamu House
66,Rikitea,PF,79.93,moderate rain,-23.1203,-134.9692,Pension Maro'i
74,Ibra,OM,77.14,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
75,Namatanai,PG,81.32,moderate rain,-3.6667,152.4333,Namatanai Hotel
81,Puerto Ayora,EC,78.01,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
83,Teknaf,BD,81.72,clear sky,20.8624,92.3058,Forestry Guesthouse
87,Santa Cruz Cabralia,BR,75.2,few clouds,-16.2781,-39.0247,Portobali Hotel
88,Kieta,PG,82.63,light rain,-6.2167,155.6333,Uruna Bay Retreat
92,Lorengau,PG,82.13,heavy intensity rain,-2.0226,147.2712,Lorengau Harbourside Hotel
94,Carutapera,BR,76.66,overcast clouds,-1.195,-46.02,Lidera
99,Porto Novo,BJ,81.01,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
108,New Norfolk,AU,75.0,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
118,Gharo,PK,80.6,haze,24.7424,67.5856,Fotis Lodge
128,Padang,ID,82.4,broken clouds,-0.9492,100.3543,Mercure Padang
149,Bengkulu,ID,79.2,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
