City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Torres,BR,-29.3353,-49.7269,68.92,85,34,4.32,scattered clouds
1,Arraial Do Cabo,BR,-22.9661,-42.0278,73.24,91,100,3.65,overcast clouds
2,Castro,BR,-24.7911,-50.0119,61.09,98,90,6.76,overcast clouds
3,San Patricio,US,28.017,-97.5169,61.0,77,90,10.36,overcast clouds
4,Georgetown,MY,5.4112,100.3354,89.01,70,20,6.91,few clouds
5,Tasiilaq,GL,65.6145,-37.6368,33.8,100,90,29.93,snow
6,Atuona,PF,-9.8,-139.0333,79.75,76,48,12.93,scattered clouds
7,Palu,ID,-0.8917,119.8707,85.32,67,97,2.89,overcast clouds
8,Yerbogachen,RU,61.2767,108.0108,17.13,94,93,15.05,overcast clouds
9,Albany,US,42.6001,-73.9662,21.99,43,7,5.88,clear sky
10,Bathsheba,BB,13.2167,-59.5167,78.8,65,20,21.85,few clouds
11,Broome,US,42.2506,-75.833,16.0,57,1,4.61,clear sky
12,Vostok,RU,46.4856,135.8833,20.86,95,95,6.29,overcast clouds
13,Berlevag,NO,70.8578,29.0864,19.4,73,20,9.22,few clouds
14,Carnarvon,AU,-24.8667,113.6333,84.2,84,0,16.11,clear sky
15,Dunda,TZ,-8.1167,34.25,65.12,94,100,3.74,light rain
16,Airai,TL,-8.9266,125.4092,71.19,92,63,2.51,broken clouds
17,Faanui,PF,-16.4833,-151.75,81.91,79,100,18.41,light rain
18,Vaini,TO,-21.2,-175.2,80.6,83,75,13.8,light rain
19,Haines Junction,CA,60.7522,-137.5108,15.8,62,76,3.8,broken clouds
20,Saint-Philippe,RE,-21.3585,55.7679,84.2,70,31,5.75,scattered clouds
21,Avarua,CK,-21.2078,-159.775,78.8,94,75,17.27,light rain
22,Ushuaia,AR,-54.8,-68.3,41.0,81,75,6.91,broken clouds
23,Yellowknife,CA,62.456,-114.3525,-2.0,78,1,5.75,clear sky
24,Kawalu,ID,-7.3817,108.2082,84.85,66,74,1.14,light rain
25,Hilo,US,19.7297,-155.09,69.8,88,90,10.36,moderate rain
26,Busselton,AU,-33.65,115.3333,71.01,68,99,3.0,light rain
27,Hobart,AU,-42.8794,147.3294,75.0,59,75,11.5,broken clouds
28,Jamestown,US,42.097,-79.2353,15.01,96,1,1.79,clear sky
29,Soure,BR,-0.7167,-48.5233,77.11,89,100,6.8,overcast clouds
30,San Quintin,MX,30.4833,-115.95,56.28,81,93,10.76,overcast clouds
31,Torbay,CA,47.6666,-52.7314,28.99,74,90,10.36,overcast clouds
32,Meulaboh,ID,4.1363,96.1285,86.32,62,42,4.03,scattered clouds
33,Olinda,BR,-8.0089,-34.8553,78.8,73,40,3.44,scattered clouds
34,Butaritari,KI,3.0707,172.7902,80.98,81,11,13.2,few clouds
35,Tura,IN,25.5198,90.2201,85.78,24,0,4.52,clear sky
36,Tevriz,RU,57.509,72.4042,14.4,95,100,11.36,overcast clouds
37,Palasa,IN,18.7667,84.4167,89.01,40,0,11.63,clear sky
38,Leningradskiy,RU,69.3833,178.4167,-15.66,84,87,6.26,overcast clouds
39,Dikson,RU,73.5069,80.5464,-15.41,88,100,5.7,overcast clouds
40,Rudbar,AF,30.15,62.6,69.78,21,0,9.57,clear sky
41,Malkangiri,IN,18.35,81.9,95.38,18,0,3.15,clear sky
42,Hithadhoo,MV,-0.6,73.0833,83.46,65,1,8.84,clear sky
43,Santa Cruz Del Sur,CU,20.7147,-77.9956,72.41,74,16,14.7,few clouds
44,Vila Do Maio,CV,15.1333,-23.2167,66.2,72,75,21.85,broken clouds
45,Lasa,IT,46.6166,10.7002,33.01,93,0,2.3,clear sky
46,Weihai,CN,37.5017,122.1136,42.26,61,0,5.26,clear sky
47,Chachapoyas,PE,-6.2317,-77.869,54.99,90,100,0.85,light rain
48,Hobyo,SO,5.3505,48.5268,80.71,70,53,17.69,broken clouds
49,Cochrane,CA,51.1834,-114.4687,32.0,68,1,9.22,clear sky
50,Buala,SB,-8.145,159.5921,83.5,74,100,5.88,light rain
51,Cidreira,BR,-30.1811,-50.2056,72.84,78,1,11.61,clear sky
52,Lamu,KE,-2.2717,40.902,78.62,80,27,9.08,scattered clouds
53,Hermanus,ZA,-34.4187,19.2345,60.01,93,100,5.53,overcast clouds
54,Kapaa,US,22.0752,-159.319,73.4,73,75,16.11,light rain
55,Leshukonskoye,RU,64.8989,45.7622,-21.12,86,2,7.0,clear sky
56,Hun,LY,29.1268,15.9477,61.7,31,14,14.88,few clouds
57,Beringovskiy,RU,63.05,179.3167,11.71,94,38,12.08,scattered clouds
58,Nikolskoye,RU,59.7035,30.7861,19.4,79,75,6.71,light snow
59,Luderitz,NA,-26.6481,15.1594,63.25,74,0,13.85,clear sky
60,El Alto,PE,-4.2714,-81.2147,73.18,81,100,10.98,light rain
61,Bredasdorp,ZA,-34.5322,20.0403,60.8,82,100,8.05,overcast clouds
62,Xichang,CN,27.8964,102.2634,65.84,39,0,4.0,clear sky
63,Kaihua,CN,23.3687,104.28,69.08,52,41,14.32,scattered clouds
64,Thinadhoo,MV,0.5333,72.9333,83.46,65,5,6.87,clear sky
