City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Pingzhuang,CN,2021-03-04 05:24:37,42.0372,119.2889,55.65,35,7,15.61
1,Puerto Ayora,EC,2021-03-04 05:24:37,-0.7393,-90.3518,75.99,95,87,1.57
2,Barrow,US,2021-03-04 05:24:39,71.2906,-156.7887,-18.4,69,1,5.75
3,Jamestown,US,2021-03-04 05:24:19,42.097,-79.2353,34.0,98,90,5.93
4,Hobart,AU,2021-03-04 05:24:07,-42.8794,147.3294,69.01,32,0,19.57
5,Albany,US,2021-03-04 05:21:42,42.6001,-73.9662,35.6,69,90,11.5
6,Hasaki,JP,2021-03-04 05:24:40,35.7333,140.8333,55.99,66,75,10.36
7,Hilo,US,2021-03-04 05:24:40,19.7297,-155.09,71.6,68,1,3.44
8,New Norfolk,AU,2021-03-04 05:24:40,-42.7826,147.0587,69.01,44,51,5.99
9,Andenes,NO,2021-03-04 05:24:40,69.3143,16.1194,30.2,55,75,17.27
10,Nanortalik,GL,2021-03-04 05:24:41,60.1432,-45.2371,38.25,76,100,23.22
11,Busselton,AU,2021-03-04 05:24:41,-33.65,115.3333,77.0,63,26,7.0
12,Itaqui,BR,2021-03-04 05:24:41,-29.1253,-56.5531,73.15,88,98,11.68
13,Padang,ID,2021-03-04 05:24:30,-0.9492,100.3543,87.8,66,20,6.91
14,Mataura,NZ,2021-03-04 05:24:42,-46.1927,168.8643,64.0,45,11,8.01
15,Punta Arenas,CL,2021-03-04 05:23:42,-53.15,-70.9167,50.0,76,75,8.05
16,Taunggyi,MM,2021-03-04 05:24:42,20.7833,97.0333,80.11,16,14,13.85
17,Cayenne,GF,2021-03-04 05:24:43,4.9333,-52.3333,79.0,89,75,3.44
18,Kununurra,AU,2021-03-04 05:24:43,-15.7667,128.7333,100.4,28,6,9.22
19,Axim,GH,2021-03-04 05:24:43,4.8699,-2.2405,79.7,89,100,10.27
20,Hermanus,ZA,2021-03-04 05:24:44,-34.4187,19.2345,64.99,95,84,8.93
21,Flinders,AU,2021-03-04 05:24:44,-34.5833,150.8552,82.0,58,15,4.0
22,Krasnoselkup,RU,2021-03-04 05:24:44,65.7,82.4667,5.22,92,100,20.85
23,Bethel,US,2021-03-04 05:24:45,41.3712,-73.414,34.0,74,1,4.18
24,Avarua,CK,2021-03-04 05:24:45,-21.2078,-159.775,80.6,83,97,3.44
25,Warwick,US,2021-03-04 05:24:46,41.7001,-71.4162,37.4,64,40,4.61
26,Lagoa,PT,2021-03-04 05:24:46,39.05,-27.9833,59.74,89,100,22.46
27,Qaanaaq,GL,2021-03-04 05:24:46,77.484,-69.3632,-23.62,79,82,4.32
28,Menongue,AO,2021-03-04 05:24:47,-14.6585,17.691,59.49,93,79,1.79
29,Vanimo,PG,2021-03-04 05:24:47,-2.6741,141.3028,83.03,77,65,10.71
30,Ushuaia,AR,2021-03-04 05:22:02,-54.8,-68.3,48.2,76,0,5.75
31,Uyuni,BO,2021-03-04 05:19:59,-20.4597,-66.825,50.14,68,77,7.49
32,Labuan,MY,2021-03-04 05:24:48,5.2767,115.2417,89.6,55,20,3.44
33,Saint-Augustin,CA,2021-03-04 05:24:48,51.226,-58.6502,11.53,93,14,3.38
34,Iisalmi,FI,2021-03-04 05:24:48,63.5592,27.1907,23.0,74,75,11.5
